Date,Open,High,Low,Close,Adj Close,Volume
2023-07-05,2.810500,2.810500,2.810500,2.810500,2.791172,0
2023-07-06,2.810500,2.810500,2.810500,2.810500,2.791172,0
2023-07-07,2.810500,2.810500,2.810500,2.810500,2.791172,0
2023-07-10,2.810500,2.810500,2.810500,2.810500,2.791172,0
2023-07-11,2.810500,2.810500,2.810500,2.810500,2.791172,0
2023-07-12,2.620000,2.620000,2.564000,2.564000,2.546367,800
2023-07-13,2.650000,2.650000,2.610000,2.610000,2.592051,3200
2023-07-14,2.580000,2.580000,2.531100,2.580000,2.562257,2865
2023-07-17,2.570000,2.600000,2.570000,2.600000,2.582120,1643
2023-07-18,2.470000,2.530000,2.470000,2.530000,2.512601,1290
2023-07-19,2.530000,2.530000,2.530000,2.530000,2.512601,0
2023-07-20,2.530000,2.530000,2.530000,2.530000,2.512601,0
2023-07-21,2.530000,2.530000,2.530000,2.530000,2.512601,0
2023-07-24,2.650000,2.650000,2.573900,2.650000,2.631776,2500
2023-07-25,2.650000,2.650000,2.650000,2.650000,2.631776,0
2023-07-26,2.650000,2.650000,2.650000,2.650000,2.631776,0
2023-07-27,2.650000,2.650000,2.650000,2.650000,2.631776,0
2023-07-28,2.650000,2.650000,2.650000,2.650000,2.631776,0
2023-07-31,2.650000,2.650000,2.650000,2.650000,2.631776,0
2023-08-01,2.650000,2.650000,2.650000,2.650000,2.631776,0
2023-08-02,2.650000,2.650000,2.650000,2.650000,2.631776,0
2023-08-03,2.650000,2.650000,2.650000,2.650000,2.631776,0
2023-08-04,2.650000,2.650000,2.650000,2.650000,2.631776,1000
2023-08-07,2.542000,2.542000,2.542000,2.542000,2.524519,7500
2023-08-08,2.542000,2.542000,2.542000,2.542000,2.524519,0
2023-08-09,2.542000,2.542000,2.542000,2.542000,2.524519,0
2023-08-10,2.460000,2.460000,2.460000,2.460000,2.443083,150
2023-08-11,2.460000,2.460000,2.460000,2.460000,2.443083,0
2023-08-14,2.460000,2.460000,2.460000,2.460000,2.443083,0
2023-08-15,2.150000,2.150000,2.150000,2.150000,2.135215,183
2023-08-16,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-08-17,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-08-18,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-08-21,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-08-22,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-08-23,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-08-24,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-08-25,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-08-28,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-08-29,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-08-30,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-08-31,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-09-01,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-09-05,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-09-06,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-09-07,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-09-08,2.150000,2.150000,2.150000,2.150000,2.135215,0
2023-09-11,1.880000,2.190000,1.880000,2.190000,2.174940,204
2023-09-12,2.190000,2.190000,2.190000,2.190000,2.174940,0
2023-09-13,2.250000,2.250000,2.250000,2.250000,2.234527,400
2023-09-14,2.030000,2.130000,2.020000,2.020000,2.006109,10021
2023-09-15,2.020000,2.020000,2.020000,2.020000,2.006109,0
2023-09-18,2.125500,2.125500,2.125500,2.125500,2.110883,339
2023-09-19,2.125500,2.125500,2.125500,2.125500,2.110883,0
2023-09-20,2.125500,2.125500,2.125500,2.125500,2.110883,0
2023-09-21,2.125500,2.125500,2.125500,2.125500,2.110883,0
2023-09-22,2.125500,2.125500,2.125500,2.125500,2.110883,0
2023-09-25,1.800000,1.800000,1.800000,1.800000,1.787621,110
2023-09-26,1.800000,1.800000,1.800000,1.800000,1.787621,0
2023-09-27,1.694000,1.720000,1.694000,1.720000,1.708172,320
2023-09-28,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-09-29,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-10-02,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-10-03,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-10-04,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-10-05,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-10-06,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-10-09,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-10-10,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-10-11,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-10-12,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-10-13,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-10-16,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-10-17,1.363500,1.363500,1.363500,1.363500,1.354123,1030
2023-10-18,1.370000,1.370000,1.370000,1.370000,1.360579,850
2023-10-19,1.370000,1.370000,1.370000,1.370000,1.360579,5150
2023-10-20,1.370000,1.370000,1.370000,1.370000,1.360579,0
2023-10-23,1.370000,1.370000,1.370000,1.370000,1.360579,0
2023-10-24,1.370000,1.370000,1.370000,1.370000,1.360579,0
2023-10-25,1.370000,1.370000,1.370000,1.370000,1.360579,0
2023-10-26,1.370000,1.370000,1.370000,1.370000,1.360579,0
2023-10-27,1.370000,1.370000,1.370000,1.370000,1.360579,0
